timestamp,value
2024-01-01,101.5
2024-01-08,102.3
2024-01-15,103.1
2024-01-22,104.0
2024-01-29,103.8
2024-02-05,104.5
2024-02-12,105.2
2024-02-19,104.9
2024-02-26,105.7
2024-03-04,106.3
2024-03-11,107.1
2024-03-18,106.8
2024-03-25,107.5
2024-04-01,108.2
2024-04-08,108.9
2024-04-15,109.5
2024-04-22,110.1
2024-04-29,109.8
2024-05-06,110.5
2024-05-13,111.2
2024-05-20,111.9
2024-05-27,112.5
2024-06-03,113.1
2024-06-10,113.8
2024-06-17,114.4
2024-06-24,115.0
2024-07-01,115.7
2024-07-08,116.3
2024-07-15,117.0
2024-07-22,117.6
2024-07-29,118.2
2024-08-05,118.9
2024-08-12,119.5
2024-08-19,120.1
2024-08-26,120.8
2024-09-02,121.4
2024-09-09,122.0
2024-09-16,122.7
2024-09-23,123.3
2024-09-30,124.0
2024-10-07,124.6
2024-10-14,125.2
2024-10-21,125.9
2024-10-28,126.5
2024-11-04,127.1
2024-11-11,127.8
2024-11-18,128.4
2024-11-25,129.0
2024-12-02,129.7
2024-12-09,130.3
2024-12-16,131.0
2024-12-23,131.6
2024-12-30,132.2
